,date,TICKER,variance,sample-size
341,2022-02-02 14:00:00,AAL,2.7152049885732826e-05,12
342,2022-02-02 15:00:00,AAL,1.2374042494340319e-05,12
343,2022-02-02 16:00:00,AAL,9.326659796842496e-06,12
344,2022-02-02 17:00:00,AAL,3.2686791090021863e-06,12
345,2022-02-02 18:00:00,AAL,6.860888861740722e-06,12
346,2022-02-02 19:00:00,AAL,4.390138590006045e-06,12
347,2022-02-02 20:00:00,AAL,5.958439477069073e-06,12
348,2022-02-02 21:00:00,AAL,5.99489552994532e-06,12
349,2022-02-02 22:00:00,AAL,6.382619794843722e-07,12
350,2022-02-02 23:00:00,AAL,9.99976856458617e-07,12
351,2022-02-03 00:00:00,AAL,1.1362275613756726e-06,12
352,2022-02-03 09:00:00,AAL,1.784009050232898e-05,9
353,2022-02-03 10:00:00,AAL,1.793895677970504e-07,3
354,2022-02-03 11:00:00,AAL,3.3403139958589847e-06,4
355,2022-02-03 12:00:00,AAL,2.717865051791583e-06,8
356,2022-02-03 13:00:00,AAL,2.2313860959809247e-06,12
357,2022-02-03 14:00:00,AAL,1.5929817384308665e-05,12
358,2022-02-03 15:00:00,AAL,1.683261396450941e-05,12
359,2022-02-03 16:00:00,AAL,1.179327217650434e-05,12
360,2022-02-03 17:00:00,AAL,4.567951585345184e-06,12
361,2022-02-03 18:00:00,AAL,3.374352389425609e-06,12
362,2022-02-03 19:00:00,AAL,6.033102744085306e-06,12
363,2022-02-03 20:00:00,AAL,3.508414229272094e-06,12
364,2022-02-03 21:00:00,AAL,4.032152607521177e-06,12
365,2022-02-03 22:00:00,AAL,7.129744225289968e-07,12
366,2022-02-03 23:00:00,AAL,3.8906553225756845e-07,12
367,2022-02-04 00:00:00,AAL,1.0528561196475305e-06,12
368,2022-02-04 09:00:00,AAL,2.6826891385140055e-05,7
369,2022-02-04 10:00:00,AAL,1.2003870477569185e-06,5
370,2022-02-04 11:00:00,AAL,1.658903121938479e-05,7
371,2022-02-04 12:00:00,AAL,1.3300634545913965e-06,12
372,2022-02-04 13:00:00,AAL,8.609380057007484e-06,12
373,2022-02-04 14:00:00,AAL,3.301355534978202e-05,12
374,2022-02-04 15:00:00,AAL,1.7058701034421616e-05,12
375,2022-02-04 16:00:00,AAL,8.155799985520667e-06,12
376,2022-02-04 17:00:00,AAL,2.408803315433781e-06,12
377,2022-02-04 18:00:00,AAL,7.305618938036613e-06,12
